Sample_Id,Sample_Site
SRR24998329,San_Gregorio
SRR24998330,San_Gregorio
SRR24998332,San_Gregorio
SRR24998334,San_Gregorio
SRR24999541,Soquel_Valley
SRR24999542,Soquel_Valley
SRR24999543,Soquel_Valley
SRR24999544,Soquel_Valley
SRR24999569,Oak_Hills
SRR24999571,Oak_Hills
SRR24999573,Oak_Hills
SRR24999584,Oak_Hills
SRR24999592,Skyline_Boulevard
SRR24999593,Skyline_Boulevard
SRR24999594,Skyline_Boulevard
SRR24999595,Skyline_Boulevard
SRR24999624,Jacks_Peak
SRR24999625,Jacks_Peak
SRR24999626,Jacks_Peak
SRR24999627,Jacks_Peak
